,name,market,funding_total_usd,status,funding_rounds,State_code,City,founded_at,company_name,acquired_at,price_amount
0,#waywire,Art,1750000,acquired,1,NY,New York,2012-06-01,#waywire,2013-10-17,
1,&TV Communications,Gaming,4000000,operating,2,CA,Los Angeles,,,,
2,CornerBlue,Online_Tech,300000,operating,1,CA,Santa Monica,2006-02-22,,,
3,Cornerstone OnDemand,Corporate_Services,44700000,operating,2,CA,Santa Monica,1999-11-01,,,
4,Cornerstone Pharmaceuticals,Medical,19179100,operating,4,NJ,Cranbury,2000-01-01,,,
5,Cornerstone Properties,Renting,0,operating,1,WA,Marysville,1996-02-28,,,
6,Cornerstone Therapeutics,Medical,30000000,operating,1,NC,Cary,,,,
7,Cornice,Online_Tech,148000000,operating,2,CO,Longmont,2000-08-21,,,
8,CorNova,Medical,7885000,operating,3,MA,Burlington,2003-10-01,,,
9,Coro Health,Medical,2000000,operating,1,TX,Austin,,,,
10,Corona Labs,Online_Tech,3000000,acquired,3,CA,Palo Alto,2008-01-01,Corona Labs,2014-11-04,
11,Coronado Biosciences,Medical,62758534,operating,5,WA,Seattle,2006-01-01,,,
12,Addapp,Online_Tech,1800000,operating,1,CA,San Francisco,2014-04-03,,,
13,CORP80,Online_Tech,100000,operating,1,OH,Delaware,2012-01-01,,,
14,Corpora,Online_Tech,15000,operating,1,TN,Chattanooga,,,,
15,Corporate Times,Renting,0,operating,1,CA,San Diego,2005-05-06,,,
16,Corpsolv,Corporate_Services,0,operating,1,NJ,Middletown,2001-01-01,,,
17,CorpU,Online_Tech,4500000,operating,1,PA,Mechanicsburg,,,,
18,Correctional Healthcare Companies,Medical,10653722,operating,2,CO,Greenwood Village,2006-01-01,,,
19,CorrectNet,Online_Tech,3370000,acquired,2,NY,Hauppauge,1997-01-01,CorrectNet,2011-05-18,
20,Correlated Magnetics Research,Online_Tech,10451365,operating,1,AL,Huntsville,2008-01-01,,,
21,Correlix,Online_Tech,11400000,closed,4,NY,New York,2006-01-01,,,
22,Correlsense,Online_Tech,21000000,operating,6,MA,Framingham,2005-01-01,,,
23,Correx,Medical,6550000,operating,3,MA,Waltham,,,,
24,Corridor Pharmaceuticals,Medical,27620904,operating,4,MD,Towson,2007-01-01,,,
25,Corrigan and Aburn Sportswear,Art,0,operating,1,MD,Baltimore,1994-01-31,,,
26,Corrigo,Online_Tech,20000000,operating,2,OR,Tualatin,1999-01-01,,,
27,Addepar,Online_Tech,65839694,operating,2,CA,Mountain View,2009-01-01,,,
28,Corrupt Lace,Online_Tech,1750,operating,1,TX,Houston,2014-05-21,,,
29,Corsair,Online_Tech,75000000,operating,1,CA,Fremont,1994-01-01,,,
30,Corso,Online_Tech,530338,operating,1,NY,New York,2009-01-01,,,
31,CorTechs Labs,Medical,0,operating,1,CA,San Diego,2001-01-01,,,
32,Cortera,Online_Tech,60699922,operating,3,FL,Boca Raton,1993-01-01,,,
33,Cortex,Other,0,,1,CA,Palo Alto,2010-12-07,Cortex,2012-02-01,
34,Cortex Healthcare,Medical,60000,closed,1,MD,Chevy Chase,2009-01-01,,,
35,Cortex Pharmaceuticals,Medical,8378011,operating,4,CA,Irvine,1988-01-01,,,
36,Cortexa,Online_Tech,0,operating,1,NY,New York,2010-01-01,,,
37,Cortexyme,Manufacturing,1000000,operating,2,CA,San Francisco,,,,
38,Corthera,Medical,23000000,acquired,1,CA,San Carlos,,Corthera,2009-12-23,620000000.0
39,Cortica,Online_Tech,37900000,operating,4,NY,New York,2007-01-01,,,
40,Addiction Campuses of America,Medical,3800000,operating,2,TN,Brentwood,,,,
41,Cortina Systems,Online_Tech,162000000,acquired,2,CA,Sunnyvale,2001-01-01,Cortina Systems,2014-10-06,131000000.0
42,Cortria Corporation,Medical,1841000,operating,1,MA,Boston,2005-01-01,,,
43,Corventis,Medical,10000006,acquired,1,CA,San Jose,,Corventis,2014-05-20,150000000.0
44,Corvil,Online_Tech,31480000,operating,2,NY,New York,2000-01-01,,,
45,CorvisaCloud,Online_Tech,30000000,,1,WI,Milwaukee,2012-11-01,,,
46,CoSchedule,Online_Tech,500000,operating,1,ND,Bismarck,2013-01-01,,,
47,Cosential,Online_Tech,250000,operating,1,TX,Austin,1997-01-01,,,
48,Coskata,Online_Tech,86220000,operating,5,IL,Warrenville,2006-07-01,,,
49,Cosmederm Bioscience,Medical,50000000,operating,1,CA,San Diego,,,,
50,CosmosID,Medical,1315000,operating,2,MD,College Park,2007-01-01,,,
51,CosNet,Online_Tech,500012,operating,1,CA,Huntington Beach,2004-01-01,,,
52,CostumeWorks,Online_Tech,175000,closed,1,WI,Lake Geneva,2008-11-01,,,
53,COTA Track,Online_Tech,3700000,operating,1,NJ,Hackensack,2013-01-01,,,
54,Cotap,Online_Tech,15500000,operating,2,CA,San Francisco,2013-05-01,,,
55,Additech,Manufacturing,12550000,operating,3,TX,Houston,1995-01-01,,,
56,Cotendo,Online_Tech,36000000,acquired,4,CA,Sunnyvale,2008-01-01,Cotendo,2011-11-27,268000000.0
57,Cotera,Medical,6541000,operating,2,CA,Menlo Park,2011-01-01,,,
58,"Coterie, Inc.",Online_Tech,1500000,acquired,1,CA,San Francisco,2012-04-01,"Coterie, Inc.",2014-06-02,
59,Cotopaxi,Online_Tech,3000000,operating,1,UT,Salt Lake City,2013-11-01,,,
60,Cotton & Reed Distillery,Online_Tech,0,operating,1,DC,Washington,2013-03-01,,,
61,CoTweet,Online_Tech,1100000,acquired,1,CA,San Francisco,2009-01-01,CoTweet,2010-03-02,
62,Coty,Medical,0,operating,1,NY,New York,,,,
63,AddMyBest,Online_Tech,1170000,operating,1,NJ,Woodcliff Lake,2009-08-01,,,
64,Couchbase,Online_Tech,116000000,operating,6,CA,Mountain View,2009-01-02,,,
65,CouchOne,Online_Tech,2000000,closed,1,CA,Oakland,2009-01-01,,,
66,Couchsurfing,Online_Tech,22600000,operating,2,CA,San Francisco,2004-06-13,,,
67,Coull,Art,6000000,operating,2,CA,Santa Barbara,2008-10-01,,,
68,Counselytics,Corporate_Services,100000,operating,1,NY,New York,2013-07-15,,,
69,Counsyl,Online_Tech,103795000,operating,6,CA,South San Francisco,2008-01-01,,,
70,Countdown,Online_Tech,18000,operating,1,MA,Boston,,,,
71,Countdown To Buy,Renting,1100000,operating,1,CT,Bethel,,,,
72,20x200,Art,2800000,operating,2,NY,New York,2007-09-01,,,
73,AddonTV,Online_Tech,1000000,operating,1,CA,Beverly Hills,2009-08-01,,,
74,CounterStorm,Online_Tech,9500000,acquired,1,NY,New York,2001-01-01,CounterStorm,2008-09-05,
75,CounterTack,Online_Tech,34500000,operating,5,MA,Waltham,2007-01-01,,,
76,Coupa Software,Online_Tech,89000000,operating,6,CA,San Mateo,2006-01-01,,,
77,Coupad,Online_Tech,75000,operating,1,,,,,,
78,Coupeez Inc.,Online_Tech,1000000,operating,1,CA,Ventura,2010-06-22,,,
79,Addoway,Online_Tech,110000,operating,1,CA,San Francisco,2010-04-01,,,
80,CoupFlip,Online_Tech,0,operating,1,NH,Hanover,2011-01-01,,,
81,Couple,Online_Tech,4200000,operating,1,CA,San Francisco,2012-01-01,,,
82,Couplewise,Online_Tech,40000,operating,1,NY,New York,2010-01-01,,,
83,Coupon Wallet,Online_Tech,150000,operating,1,MI,Sterling Heights,2012-10-11,,,
84,CouponCabin,Online_Tech,54000000,operating,1,IN,Whiting,2003-08-01,,,
85,Coupons.com,Online_Tech,276760000,operating,6,CA,Mountain View,1998-01-01,,,
86,CoupOption,Corporate_Services,0,operating,1,WY,Cheyenne,2012-03-08,,,
87,Cour Pharmaceuticals Development,Medical,516977,operating,2,IL,Elmhurst,2012-01-01,,,
88,coUrbanize,Renting,668806,operating,2,MA,Cambridge,2013-02-01,,,
89,Courion Corporation,Online_Tech,840000,operating,2,MA,Westborough,1996-01-01,,,
90,Course Hero,Online_Tech,17393000,operating,6,CA,Redwood City,2006-10-01,,,
91,CourseAdvisor,Education,12000000,operating,1,MA,Woburn,2004-01-01,,,
92,CourseHorse,Online_Tech,1800000,operating,2,NY,New York,2011-04-14,,,
93,Courseload,Online_Tech,1640000,operating,1,IN,Indianapolis,2009-03-01,,,
94,AddressReport,Online_Tech,200000,operating,1,NY,New York,2014-04-01,,,
95,CourseNetworking,Online_Tech,1675936,operating,2,IN,Indianapolis,2011-01-01,,,
96,Coursera,Education,85000000,operating,4,CA,Mountain View,2012-01-01,,,
97,CourseWeaver,Education,600000,operating,1,MI,East Lansing,2013-05-01,,,
98,Coursmos,Education,990000,operating,3,CA,San Francisco,2013-07-07,,,
99,Courtagen Life Sciences,Medical,14272598,operating,4,MA,Woburn,1999-01-01,,,
100,Covario,Online_Tech,16000000,acquired,2,CA,San Diego,2006-03-01,Covario,2014-09-17,
101,Covaron Advanced Materials,Online_Tech,1100000,operating,2,MI,Ann Arbor,2013-01-01,,,
102,Covata,Online_Tech,15000000,operating,1,VA,Reston,2007-01-01,,,
103,Cove Financial Group,Online_Tech,10400000,operating,1,CA,Irvine,2012-07-04,,,
104,COVEGA,Online_Tech,10000000,operating,1,MD,Jessup,,,,
105,Covenant Kids Manor Inc.,Nonprofits,0,operating,1,FL,Orlando,2000-06-21,,,
106,AddShoppers,Online_Tech,725000,operating,1,NC,Charlotte,2011-01-01,,,
107,Covenant Surgical Partners,Medical,76336992,operating,14,TN,Nashville,2008-01-01,,,
108,Coveo,Online_Tech,34700000,operating,4,IL,Vernon Hills,2005-01-01,,,
109,Cover,Online_Tech,7000000,operating,2,NY,New York,,,,
110,Covercake,Online_Tech,0,operating,1,CA,San Jose,2010-01-05,,,
111,CoverHound,Manufacturing,9431488,operating,4,CA,San Francisco,2010-05-01,,,
112,CoverItLive,Online_Tech,1000000,acquired,1,TX,Austin,2007-01-01,CoverItLive,2011-03-03,
113,CoverItLive,Online_Tech,1000000,acquired,1,TX,Austin,2007-01-01,CoverItLive,2014-07-14,
114,CoverItLive,Online_Tech,1000000,acquired,1,TX,Austin,2007-01-01,CoverItLive,2014-07-14,
115,Coverity,Online_Tech,22000000,acquired,1,CA,San Francisco,2002-01-01,Coverity,2014-02-19,375000000.0
116,Covermate Products,Manufacturing,2342250,operating,2,CA,San Francisco,2007-01-01,,,
117,CoverMe,Online_Tech,500000,operating,1,CA,San Jose,2012-07-28,,,
118,AddThis,Online_Tech,73000000,operating,7,VA,Vienna,2004-01-01,,,
119,CoverMyMeds,Medical,250000,operating,1,OH,Twinsburg,2008-01-01,,,
120,Coveroo,Online_Tech,3800000,operating,2,CA,San Francisco,2008-10-01,,,
121,"Coversant, Inc.",Online_Tech,2205000,operating,3,CA,Roseville,2012-04-11,,,
122,Covestor,Online_Tech,23850000,operating,4,MA,Boston,2005-01-01,,,
123,CoVi Technologies,Online_Tech,30000000,operating,2,TX,Austin,2002-01-01,,,
124,Covia Labs,Other,2300000,operating,1,CA,Mountain View,2003-01-01,,,
125,Covocative,Online_Tech,0,operating,2,MA,Centerville,2011-01-01,,,
126,CoWare,Online_Tech,7000000,operating,1,CA,San Jose,1997-01-01,,,
127,Coworks,Online_Tech,1950000,operating,2,ME,Stockholm,2009-09-01,,,
128,Cox Communications,Online_Tech,400000,operating,1,GA,Atlanta,1984-01-01,,,
129,Coyote Cable,Online_Tech,2850000,operating,1,TX,San Antonio,2013-01-01,,,
130,Cozi,Online_Tech,5800000,acquired,1,WA,Seattle,2013-01-30,Cozi,2014-06-02,
131,Cozi Group,Online_Tech,29557587,closed,8,WA,Seattle,2005-03-03,,,
132,Cozmik Body,Medical,7000,operating,1,GA,Atlanta,2013-12-15,,,
133,Cozy,Corporate_Services,6500000,operating,2,OR,Portland,2012-03-01,,,
134,Addus HealthCare,Medical,1240000,operating,1,IL,Palatine,1979-01-01,,,
135,cPacket Networks,Online_Tech,11658743,operating,3,CA,Mountain View,2003-01-01,,,
136,CPO Commerce,Online_Tech,2282118,operating,1,CA,Pasadena,2004-02-01,,,
137,CPower,Online_Tech,27680000,acquired,2,NY,New York,2000-01-01,CPower,2010-09-19,78000000.0
138,CPUsage,Online_Tech,925000,operating,1,OR,Portland,2011-08-01,,,
139,Addvocate,Online_Tech,2729000,operating,2,CA,San Francisco,2012-05-01,,,
140,CPXi,Online_Tech,30000000,operating,1,NY,New York,2000-01-01,,,
141,CQuotient,Online_Tech,3000000,operating,1,MA,Cambridge,2010-01-01,,,
142,Crackle,Online_Tech,1750000,operating,1,CA,Culver City,2004-01-01,,,
143,Cradle Technologies,Online_Tech,13000000,operating,1,CA,Mountain View,,,,
144,CradlePoint Technology,Online_Tech,17628255,operating,4,ID,Boise,2004-01-01,,,
145,Craft Coffee,Online_Tech,270000,operating,2,NY,Brooklyn,2010-01-01,,,
146,Craftistas,Online_Tech,0,operating,1,NY,New York,2012-08-01,,,
147,Craftsy,Online_Tech,106000000,operating,4,CO,Denver,2010-01-01,,,
148,Craig Wireless,Online_Tech,2000000,operating,1,CA,Rancho Mirage,,,,
149,CraigsBlueBook,Online_Tech,0,operating,1,CA,Sacramento,2013-03-12,,,
150,Craigslist,Online_Tech,13500000,operating,1,CA,San Francisco,1995-03-01,,,
151,CRAM Worldwide,Online_Tech,650000,operating,2,MN,White Bear Lake,2011-01-01,,,
152,Crambu,Online_Tech,0,operating,1,KY,Lexington,2011-03-01,,,
153,Cramster,Online_Tech,9000000,acquired,2,CA,Pasadena,2002-01-01,Cramster,2010-12-08,
154,Addy,Online_Tech,300000,operating,2,CA,San Francisco,2012-05-01,,,
155,Craneware,Medical,6000000,operating,1,GA,Atlanta,1999-01-01,,,
156,Cranite Systems,Online_Tech,11500000,operating,1,CA,Los Gatos,2000-01-01,,,
157,"Cranium Cafe, LLC",Online_Tech,100000,operating,1,UT,Salt Lake City,2012-07-01,,,
158,Crashlytics,Online_Tech,6000000,acquired,2,MA,Cambridge,2011-02-01,Crashlytics,2013-01-28,100000000.0
159,Crashmob,Online_Tech,1119109,operating,1,MA,Boston,2009-01-01,,,
160,Cratejoy,Online_Tech,4000000,operating,1,TX,Austin,2013-01-01,,,
161,CRAVE,Online_Tech,4800000,operating,2,CA,San Francisco,2010-01-01,,,
162,Crave.com,Online_Tech,0,operating,1,CA,Mountain View,2010-03-01,,,
163,Adea,Corporate_Services,5000000,acquired,1,TX,Irving,1996-01-01,Adea,2010-12-22,39000000.0
164,CRAZE,Online_Tech,1012700,operating,1,CA,San Diego,,,,
165,CRE Secure,Online_Tech,3180000,operating,1,GA,Atlanta,,,,
166,ADEA Cutters,Online_Tech,0,operating,1,AR,Bryant,2009-06-25,,,
167,CREAM Entertainment Group,Online_Tech,0,operating,1,NJ,Newark,2011-06-30,,,
168,Cream Style,Online_Tech,100000,operating,1,NY,New York,2013-01-05,,,
169,Creamalicious,Retail,1000,operating,1,OH,Liberty Center,2012-07-01,,,
170,Create! Art Collective,Online_Tech,827,operating,1,CA,Daly City,2013-09-01,,,
171,CREATETHE GROUP,Corporate_Services,12000000,operating,1,NY,New York,2004-01-01,,,
172,aDealio,Online_Tech,1500000,operating,2,TX,Austin,2010-04-01,,,
173,Creating Solutions Consulting,Corporate_Services,0,operating,1,OH,Euclid,2013-04-01,,,
174,CREATIV,Online_Tech,8750000,operating,5,AZ,Scottsdale,2010-04-10,,,
175,CreatiVasc Medical,Online_Tech,5000000,operating,1,SC,Greenville,2004-01-01,,,
176,CREATIV™ Media Group,Online_Tech,600000,operating,2,CA,Santa Monica,2013-01-01,,,
177,Creative Allies,Online_Tech,833197,operating,2,NC,Asheville,2009-02-09,,,
178,Creative Artists Agency,Fitness,0,operating,2,CA,Los Angeles,1975-01-01,,,
179,Creative Brain Studios,Online_Tech,0,operating,1,CO,Boulder,2011-05-04,,,
180,Creative Circle Advertising Solutions,Online_Tech,155000,operating,1,RI,East Providence,2004-02-01,,,
181,AdECN,Online_Tech,3100000,acquired,1,CA,Carpinteria,2003-01-01,AdECN,2007-07-26,
182,Creative Citizen,Corporate_Services,0,closed,1,CA,Santa Monica,2007-04-01,,,
183,Creative Market,Art,2300000,acquired,2,CA,San Francisco,2011-01-11,Creative Market,2014-03-19,
184,CreativeLive,Education,29500000,operating,3,CA,San Francisco,2010-04-01,,,
185,CreativeWorx,Online_Tech,400000,operating,1,NY,New York,2011-09-07,,,
186,Creativit Studios,Art,1500000,operating,1,NY,New York,2012-12-29,,,
187,Creator Up,Education,0,operating,1,CA,Los Angeles,2012-09-01,,,
188,CreatorBox,Education,20000,operating,1,NY,New York,,,,
189,AdelaVoice,Online_Tech,250000,operating,1,MA,Boston,2010-01-01,,,
190,CREDANT Technologies,Online_Tech,7000000,acquired,2,TX,Addison,2001-01-01,CREDANT Technologies,2012-12-19,
191,Credible,Online_Tech,1500000,operating,2,CA,San Francisco,2012-11-01,,,
192,Credit Coach,Online_Tech,1000000,closed,2,WI,Kaukauna,2008-09-01,,,
193,Credit Karma,Banking,193000000,operating,5,CA,San Francisco,2007-06-01,,,
194,Credit Re-Inventors,Online_Tech,0,operating,1,OH,Columbus,2014-11-01,,,
195,Credit Sesame,Online_Tech,19350000,operating,3,CA,Mountain View,2010-04-01,,,
196,Adelja Learning,Education,505000,operating,2,NH,Concord,2010-01-01,,,
197,CreditCards.com,Online_Tech,58800000,acquired,1,NY,New York,2004-01-01,CreditCards.com,2010-07-05,145000000.0
198,Creditera,Other,6500000,operating,2,UT,South Jordan,2012-01-01,,,
199,creditmontoring.com,Online_Tech,1000000,operating,1,AZ,Scottsdale,2011-09-15,,,
200,CreditPing.com,Banking,580000,operating,1,CA,Los Angeles,2009-10-01,,,
201,CreditPoint Software,Online_Tech,125000,operating,1,OK,Owasso,2000-01-01,,,
202,CreditSuppliers,Labor,12500000,operating,1,AZ,Scottsdale,,,,
203,Credorax,Online_Tech,80000000,operating,4,MA,Southborough,2008-01-01,,,
204,Cree,Online_Tech,241039698,operating,2,NC,Durham,1987-01-01,,,
205,"Creisoft, Inc.",Renting,245000,operating,2,NC,Charlotte,2012-11-01,,,
206,Crelow,Online_Tech,1800000,operating,1,MN,Scandia,2014-01-01,,,
207,CREOpoint,Other,0,operating,1,NY,New York,2008-05-29,,,
208,Adelphic Mobile,Online_Tech,12000000,operating,2,MA,Waltham,2010-01-01,,,
209,CrepeGuys,Service,0,operating,1,IL,Castleton,2011-05-15,,,
210,CRESCEL,Manufacturing,300000,operating,1,FL,Miami Beach,2011-01-01,,,
211,Crescendo Bioscience,Medical,146600003,acquired,4,CA,South San Francisco,2002-01-01,Crescendo Bioscience,2014-02-04,270000000.0
212,Crescendo Networks,Online_Tech,24500000,acquired,3,CA,Sunnyvale,2002-01-01,Crescendo Networks,2011-08-15,
213,Crescent Unmanned Systems,Online_Tech,250000,operating,1,LA,New Orleans,2011-01-01,,,
214,CrestaTech,Online_Tech,20885000,operating,4,CA,Santa Clara,2005-11-30,,,
215,Aden & Anais,Online_Tech,0,operating,1,NY,Brooklyn,2006-01-01,,,
216,CrestHire,Medical,0,operating,1,NJ,Union,2009-01-26,,,
217,Crestone Telecom,Online_Tech,135000,operating,1,CO,Crestone,2011-01-01,,,
218,Cretia's Creations,Gaming,0,operating,1,GA,Warner Robins,,,,
219,CRI Technologies,Corporate_Services,11000000,closed,2,CT,Shelton,2001-01-01,,,
220,CribFrog,Online_Tech,0,operating,1,MN,Minneapolis,2011-01-01,,,
221,Cribspot,Renting,1147034,operating,2,MI,Detroit,2013-04-13,,,
222,Adenios,Medical,810000,operating,1,NY,Ithaca,2009-01-01,,,
223,Cricket Media,Online_Tech,56309183,operating,4,VA,Herndon,1996-01-01,,,
224,Criers Podium,Online_Tech,25000,operating,1,AZ,Chandler,2013-07-05,,,
225,CrimeReports,Art,7200000,operating,1,UT,Salt Lake City,2007-01-01,,,
226,CrimeWatch US,Online_Tech,0,operating,1,PA,Mechanicsburg,2012-01-01,,,
227,Crimson Hexagon,Online_Tech,11158362,operating,5,MA,Boston,2007-08-01,,,
228,Crimson Informatics,Online_Tech,2812000,operating,2,VA,Glen Allen,,,,
229,Crimson Renewable,Online_Tech,5000000,operating,1,CO,Denver,,,,
230,Crimson Waters Games,Art,0,operating,1,FL,Miami,2006-07-07,,,
231,Crisp,Retail,25000,operating,2,CA,Santa Ana,2008-04-01,,,
232,Crisp Media,Online_Tech,16020000,operating,3,NY,New York,1999-01-01,,,
233,Crispy Gamer,Art,8250000,operating,1,NY,New York,2008-01-01,,,
234,Criterion Security,Online_Tech,250000,operating,1,TN,Nashville,2010-01-01,,,
235,Critical Biologics Corporation,Medical,500000,operating,1,MA,Cambridge,2004-01-01,,,
236,Critical Diagnostics,Medical,2566676,operating,1,CA,San Diego,2004-01-01,,,
237,Critical Links,Education,5700000,operating,1,NJ,Fairfield,2008-01-01,,,
238,Critical Media,Gaming,6200000,operating,3,NY,New York,2002-01-01,,,
239,Critical Signal Technologies,Medical,10800000,operating,1,MI,Novi,2006-01-01,,,
240,CRITICAL TECHNOLOGIES,Online_Tech,9370065,operating,1,OK,Edmond,,,,
241,CriticalMetrics,Online_Tech,100000,operating,1,CA,Lucerne Valley,2007-01-01,,,
242,CriticMania.com,Online_Tech,480000,operating,2,VA,Ashburn,2012-11-01,,,
243,Critique^It,Education,600000,operating,1,CA,Long Beach,2008-10-20,,,
244,CritiTech,Medical,5233000,operating,3,KS,Lawrence,,,,
245,Crittercism,Online_Tech,48720000,operating,5,CA,San Francisco,2011-01-01,,,
246,CRIX Labs,Online_Tech,100000,operating,1,CA,San Francisco,,,,
247,Cro Analytics,Online_Tech,175000,operating,2,PA,New Hope,,,,
248,Adept Cloud,Online_Tech,1015000,acquired,2,CA,San Mateo,2011-06-01,Adept Cloud,2013-09-17,
249,Croak.it,Online_Tech,40000,operating,1,PA,Philadelphia,2012-01-01,,,
250,Crocodoc,Online_Tech,0,acquired,1,CA,San Francisco,2010-02-01,Crocodoc,2013-05-09,
251,Crocs,Retail,200000000,operating,1,CO,Niwot,2002-01-01,,,
252,Crocus Technology,Online_Tech,76613550,operating,3,CA,Santa Clara,2004-01-01,,,
253,Crono,Online_Tech,25000,closed,1,PA,Pittsburgh,2008-01-01,,,
254,Cronote,Online_Tech,11000,operating,1,CA,Fountain Valley,2010-12-01,,,
255,Adeptence,Manufacturing,5800000,,1,CA,San Diego,,,,
256,Crop Ventures,Online_Tech,25000,operating,1,NE,Omaha,2011-11-10,,,
257,CropUp,Online_Tech,1000000,operating,1,NY,Brooklyn,2012-04-17,,,
258,Cross Current,Online_Tech,833333,operating,1,PA,Doylestown,1994-01-01,,,
259,Cross Pixel Media,Online_Tech,1800015,operating,2,NY,New York,2010-01-01,,,
260,Cross River Fiber,Online_Tech,300000,operating,1,NJ,Iselin,2011-01-01,,,
261,Crossbar,Online_Tech,45587000,operating,2,CA,Santa Clara,2008-01-01,,,
262,Crossbeam Systems,Online_Tech,24500000,acquired,2,MA,Boxborough,2000-01-01,Crossbeam Systems,2012-11-09,
263,Crossbeam Systems,Online_Tech,24500000,acquired,2,MA,Boxborough,2000-01-01,Crossbeam Systems,2012-12-17,
264,AdEspresso,Online_Tech,1800000,operating,2,CA,Mountain View,2011-12-01,,,
265,Crossborders,Art,2300000,operating,1,NY,New York,2003-01-01,,,
266,Crossbow Technologies,Manufacturing,13020000,acquired,2,CA,Milpitas,1995-01-01,Crossbow Technologies,2011-06-03,32000000.0
267,CrossChx,Online_Tech,5000000,operating,1,OH,Columbus,2012-06-05,,,
268,CrossCore,Medical,400000,operating,1,CA,Duarte,2009-01-01,,,
269,CrossCurrent,Online_Tech,2375000,operating,2,OR,Portland,2002-01-01,,,
270,Crossfader,Online_Tech,5400000,operating,6,CA,San Francisco,,,,
271,CrossFiber,Manufacturing,16400000,operating,2,CA,San Diego,2001-01-01,,,
272,CrossFirst Bank,Online_Tech,16600000,operating,1,KS,Leawood,2007-01-01,,,
273,Crossing Automation,Manufacturing,13205000,acquired,2,CA,Mountain View,2003-01-01,Crossing Automation,2012-10-30,
274,Adesso Solutions,Online_Tech,6000000,operating,1,IL,Rolling Meadows,2002-01-01,,,
275,CrossLoop,Online_Tech,10500000,operating,3,CA,Monterey Park,2006-01-01,,,
276,Crossover Health Management Services,Medical,6487877,operating,1,CA,Aliso Viejo,2010-01-01,,,
277,CROSSROADS SYSTEMS,Online_Tech,36102807,operating,5,TX,Austin,1995-01-01,,,
278,CrossTx,Online_Tech,50000,operating,1,MT,Bozeman,2010-01-01,,,
279,CrossWorld Warranty,Retail,200000,,2,NY,New York,2012-01-01,,,
280,Adesto Technologies,Manufacturing,43981909,operating,6,CA,Sunnyvale,2006-01-01,,,
281,Crowd Factory,Online_Tech,6500000,acquired,1,CA,San Francisco,2009-01-01,Crowd Factory,2012-04-18,
282,Crowd Play,Online_Tech,500000,operating,1,NY,New York,2012-02-15,,,
283,Crowd Science,Online_Tech,2000000,operating,1,CA,San Jose,2007-12-01,,,
284,Crowd Supply,Online_Tech,500000,operating,1,OR,Portland,2012-01-01,,,
285,Crowd Technologies,Online_Tech,1000000,closed,1,CA,Los Altos,,,,
286,21000000,Online_Tech,5050000,operating,1,CA,San Francisco,2013-01-01,,,
287,AdEx Media,Online_Tech,2665604,operating,1,CA,Mountain View,,,,
288,Crowdability,Online_Tech,1000000,operating,1,NY,New York,2014-02-01,,,
289,Crowdasaurus,Online_Tech,0,operating,1,PA,Pittsburgh,2013-01-01,,,
290,Crowdbooster,Online_Tech,0,operating,2,CA,Palo Alto,2010-04-01,,,
291,CrowdBouncer,Online_Tech,437500,operating,1,NY,Buffalo,2012-01-01,,,
292,Crowdcast,Online_Tech,6000000,acquired,1,CA,San Francisco,2007-01-01,Crowdcast,2012-09-18,
293,AdexLink,Online_Tech,2000000,closed,1,CA,Campbell,2010-08-16,,,
294,CrowdChat,Online_Tech,650000,operating,1,CA,Palo Alto,,,,
295,CrowdClock,Online_Tech,80000,operating,1,CA,Carlsbad,2012-01-03,,,
296,CrowdComfort,Renting,617493,operating,2,MA,Beverly,2013-01-01,,,
297,CrowdCompass,Online_Tech,1300000,acquired,1,OR,Portland,2009-04-01,CrowdCompass,2012-06-19,10000000.0
298,CrowdEngineering,Online_Tech,4350000,operating,2,MA,Boston,2008-10-14,,,
299,Crowdery,Art,0,operating,1,CA,Mountain View,2013-01-01,,,
300,CrowdFeed,Online_Tech,25000,operating,2,TX,Dallas,2013-01-01,,,
301,AdExtent,Online_Tech,5100000,operating,2,NY,New York,,,,
302,CrowdFlik,Corporate_Services,400000,operating,1,NY,New York,2012-11-15,,,
303,CrowdFlower,Online_Tech,28000000,operating,4,CA,San Francisco,2009-12-20,,,
304,Crowdfunder,Online_Tech,4900000,operating,3,CA,Los Angeles,2011-12-05,,,
305,Crowdfynd,Online_Tech,190000,operating,3,IL,Chicago,2012-08-20,,,
306,CrowdGather,Online_Tech,9304000,operating,3,CA,Woodland Hills,2008-01-01,,,
307,CrowdHall,Online_Tech,770000,operating,2,NV,Las Vegas,2012-02-01,,,
308,Crowdly,Online_Tech,1892730,operating,4,MA,Boston,2012-01-01,,,
309,CrowdMed,Medical,2380000,operating,4,CA,San Francisco,2012-10-01,,,
310,CrowdMob,Online_Tech,1000000,operating,1,CA,San Francisco,2010-09-01,,,
311,Crowdnetic,Online_Tech,1900000,operating,1,NY,New York,2011-01-01,,,
312,CrowdOptic,Online_Tech,7496000,operating,10,CA,San Francisco,2010-01-01,,,
313,Crowdpac,Online_Tech,2100000,operating,1,CA,Menlo Park,2013-01-01,,,
314,CrowdPC,Online_Tech,880000,closed,3,TN,Nashville,2012-06-04,,,
315,Adeze,Online_Tech,5500000,operating,2,CA,San Francisco,2005-01-01,,,
316,CrowdPlat,Corporate_Services,50000,operating,1,CA,Milpitas,2013-01-01,,,
317,Crowdrally,Online_Tech,0,operating,1,CA,Mountain View,2010-04-20,,,
318,CrowdRise,Online_Tech,24600000,operating,3,MI,Detroit,2010-01-01,,,
